Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID,Novel,Notes
The Beautiful and Damned,1922,"Fitzgerald, F. Scott",1896,1940,1900-1999,46,0.753898,fitzgerald_the-beautiful-and-damned_1922,9830,TRUE,
The Awkward Age,1899,"James, Henry, Jr.",1843,1916,1800-1899,60,0.750504,james_the-awkward-age_1899,7433,TRUE,
Omoo,1847,"Melville, Herman",1819,1891,1800-1899,59,0.734905,melville_omoo_1847,4045,TRUE,Fictionalized travel narrative; companion to Typee
Walden,1854,"Thoreau, Henry David",1817,1862,1800-1899,59,0.734905,thoreau_walden_1854,205,FALSE,Nature writing/memoir
Banjo,1929,"McKay, Claude",1890,1948,1900-1999,45,0.732246,mckay_banjo_1929,,TRUE,
Martin Eden,1909,"London, Jack",1876,1916,1900-1999,44,0.710595,london_martin-eden_1909,1056,TRUE,
My Mortal Enemy,1926,"Cather, Willa",1873,1947,1900-1999,43,0.688943,cather_my-mortal-enemy_1926,,TRUE,Novella
The Damnation of Theron Ware,1896,"Frederic, Harold",1856,1898,1800-1899,56,0.688107,frederic_the-damnation-of-theron-ware_1896,133,TRUE,
The Clansman,1905,"Dixon, Thomas",1864,1946,1900-1999,42,0.667291,dixon_the-clansman_1905,26240,TRUE,
Plum Bun,1928,"Fauset, Jessie Redmon",1886,1961,1900-1999,42,0.667291,fauset_plum-bun_1928,,TRUE,
Red Harvest,1929,"Hammett, Dashiell",1894,1961,1900-1999,42,0.667291,hammett_red-harvest_1929,,TRUE,
Arrowsmith,1925,"Lewis, Sinclair",1885,1951,1900-1999,42,0.667291,lewis_arrowsmith_1925,70875,TRUE,
Vandover and the Brute,1914,"Norris, Frank",1870,1902,1900-1999,41,0.64564,norris_vandover-and-the-brute_1914,14712,TRUE,
Narrative of the Life of Frederick Douglass,1845,"Douglass, Frederick",1817,1895,1800-1899,53,0.64131,douglass_narrative-of-the-life-of_1845,23,FALSE,Autobiography
The Prairie,1827,"Cooper, James Fenimore",1789,1851,1800-1899,52,0.625711,cooper_the-prairie_1827,6450,TRUE,
The Enormous Room,1922,"Cummings, E. E.",1894,1962,1900-1999,40,0.623988,cummings_the-enormous-room_1922,8446,TRUE,Autobiographical novel
Soldiers' Pay,1926,"Faulkner, William",1897,1962,1900-1999,39,0.602337,faulkner_soldiers-pay_1926,,TRUE,
