Novel Title,Novel year of publication,Author,Author Birth,Author Death,Period,Count,Z Score,Corpus ID,Gutenberg ID
The Rise of David Levinsky,1917,"Cahan, Abraham",1860,1951,1900-1999,35,0.51573,cahan_the-rise-of-david-levinsky_1917,2803
Morgesons,1862,"Stoddard, Elizabeth Drew",1823,1902,1800-1899,44,0.500918,stoddard_morgesons_1862,12347
Who Would Have Thought It?,1872,"Ruiz de Burton, María Amparo",1832,1895,1800-1899,43,0.485319,ruizdeburton_who-would-have-thought-it_1872,
Ryder,1928,"Barnes, Djuna",1892,1982,1900-1999,33,0.472427,barnes_ryder_1928,
Giants in the Earth,1927,"Rølvaag, Ole Edvart",1876,1931,1900-1999,33,0.472427,rlvaag_giants-in-the-earth_1927,75491
Ben-Hur,1880,"Wallace, Lew",1827,1905,1800-1899,41,0.454121,wallace_benhur_1880,2145
The Sport of the Gods,1902,"Dunbar, Paul Laurence",1872,1906,1900-1999,32,0.450775,dunbar_the-sport-of-the-gods_1902,17854
The Birth of a Nation,1915,"Griffith, D. W.",1875,1948,1900-1999,32,0.450775,griffith_the-birth-of-a-nation_1915,
The Iron Heel,1907,"London, Jack",1876,1916,1900-1999,32,0.450775,london_the-iron-heel_1907,1164
Cane,1923,"Toomer, Jean",1894,1967,1900-1999,32,0.450775,toomer_cane_1923,60093
The Deerslayer,1841,"Cooper, James Fenimore",1789,1851,1800-1899,40,0.438522,cooper_the-deerslayer_1841,3285
"The Life and Adventures of Joaquin Murieta, the Celebrated California Bandit",1854,"Ridge, John Rollin",1827,1867,1800-1899,40,0.438522,ridge_the-life-and-adventures-of_1854,
The Minister's Wooing,1859,"Stowe, Harriet Beecher",1811,1896,1800-1899,40,0.438522,stowe_the-ministers-wooing_1859,47958
Work,1873,"Alcott, Louisa May",1832,1888,1800-1899,39,0.422922,alcott_work_1873,4770
At Fault,1890,"Chopin, Kate",1851,1904,1800-1899,39,0.422922,chopin_at-fault_1890,23810
Personal Recollections of Joan of Arc,1896,"Twain, Mark",1835,1910,1800-1899,39,0.422922,twain_personal-recollections-of_1896,2874
Personal Recollections of Joan of Arc,1896,"Twain, Mark",1835,1910,1800-1899,39,0.422922,twain_personal-recollections-of_1896,2875
Tarzan of the Apes,1912,"Burroughs, Edgar Rice",1875,1950,1900-1999,30,0.407472,burroughs_tarzan-of-the-apes_1912,78
The Colonel's Dream,1905,"Chesnutt, Charles W.",1858,1932,1900-1999,30,0.407472,chesnutt_the-colonels-dream_1905,19746
Pollyanna,1913,"Porter, Eleanor H.",1868,1920,1900-1999,30,0.407472,porter_pollyanna_1913,1450
The Quaker City,1845,"Lippard, George",1822,1854,1800-1899,37,0.391724,lippard_the-quaker-city_1845,
Leaves of Grass,1855,"Whitman, Walt",1819,1892,1800-1899,37,0.391724,whitman_leaves-of-grass_1855,1322
"Winesburg, Ohio",1919,"Anderson, Sherwood",1876,1941,1900-1999,29,0.38582,anderson_winesburg-ohio_1919,416
Hobomok,1824,"Child, Lydia Maria",1802,1880,1800-1899,36,0.376125,child_hobomok_1824,
The Europeans,1878,"James, Henry, Jr.",1843,1916,1800-1899,36,0.376125,james_the-europeans_1878,179
Jews without Money,1930,"Gold, Michael",1893,1967,1900-1999,28,0.364169,gold_jews-without-money_1930,
Hagar's Daughter,1901,"Hopkins, Pauline E.",1859,1930,1900-1999,28,0.364169,hopkins_hagars-daughter_1901,
The American Scene,1907,"James, Henry, Jr.",1843,1916,1900-1999,28,0.364169,james_the-american-scene_1907,68717
A Modern Instance,1882,"Howells, William Dean",1837,1920,1800-1899,35,0.360526,howells_a-modern-instance_1882,8203
The Leopard's Spots,1902,"Dixon, Thomas",1864,1946,1900-1999,27,0.342517,dixon_the-leopards-spots_1902,54765
White Fang,1906,"London, Jack",1876,1916,1900-1999,27,0.342517,london_white-fang_1906,910
The Gates Ajar,1868,"Ward, Elizabeth Stuart Phelps",1844,1911,1800-1899,33,0.329328,ward_the-gates-ajar_1868,
A Little Princess,1905,"Burnett, Frances Hodgson",1849,1924,1900-1999,26,0.320865,burnett_a-little-princess_1905,146
Ruth Hall,1855,"Fern, Fanny",1811,1872,1800-1899,32,0.313729,fern_ruth-hall_1855,40814
The Prince and the Pauper,1882,"Twain, Mark",1835,1910,1800-1899,32,0.313729,twain_the-prince-and-the-pauper_1882,1837
Elmer Gantry,1927,"Lewis, Sinclair",1885,1951,1900-1999,25,0.299214,lewis_elmer-gantry_1927,72609
